screen,protein_1,protein_2,iLIS_best,iLIS_avg,ipTM_best,ipTM_avg,bundle
POU2F1,KPNA4,FUS,0.2722,0.1107,0.6,0.38,POU2F1/KPNA4___FUS.zip
POU2F1,NBN,BUB3,0.2709,0.1013,0.66,0.43,POU2F1/NBN___BUB3.zip
POU2F1,ACTN4,FUS,0.2682,0.1497,0.34,0.284,POU2F1/ACTN4___FUS.zip
POU2F1,NBN,GFP,0.263,0.0972,0.3,0.27,POU2F1/NBN___GFP.zip
POU2F1,SUPV3L1,SEC31A,0.2622,0.1951,0.47,0.426,POU2F1/SUPV3L1___SEC31A.zip
POU2F1,NOP2,POU2F1,0.2609,0.0624,0.42,0.246,POU2F1/NOP2___POU2F1.zip
POU2F1,GPD2,BUB3,0.2553,0.1136,0.48,0.362,POU2F1/GPD2___BUB3.zip
POU2F1,WASHC5,SAMM50,0.2526,0.1406,0.47,0.412,POU2F1/WASHC5___SAMM50.zip
POU2F1,NCKAP1,FUS,0.2492,0.0637,0.56,0.33,POU2F1/NCKAP1___FUS.zip
POU2F1,SAMM50,POU2F1,0.2485,0.0497,0.46,0.25,POU2F1/SAMM50___POU2F1.zip
POU2F1,ACTN4,NCKAP1,0.2479,0.0521,0.6,0.324,POU2F1/ACTN4___NCKAP1.zip
POU2F1,EPB41,STIP1,0.2434,0.0501,0.33,0.28,POU2F1/EPB41___STIP1.zip
POU2F1,CDK12,PRPF19,0.2395,0.1563,0.51,0.448,POU2F1/CDK12___PRPF19.zip
POU2F1,EPB41,BOP1,0.2393,0.1363,0.32,0.288,POU2F1/EPB41___BOP1.zip
POU2F1,WASHC5,SEC31A,0.2384,0.1009,0.54,0.408,POU2F1/WASHC5___SEC31A.zip
POU2F1,RAD50,NOP2,0.2383,0.0477,0.42,0.282,POU2F1/RAD50___NOP2.zip
POU2F1,PSPC1,NCKAP1,0.2375,0.112,0.5,0.348,POU2F1/PSPC1___NCKAP1.zip
POU2F1,KPNA4,MYH9,0.2365,0.0473,0.55,0.298,POU2F1/KPNA4___MYH9.zip
POU2F1,SAMM50,FUS,0.233,0.1344,0.37,0.28,POU2F1/SAMM50___FUS.zip
POU2F1,IBA57,POU2F1,0.2323,0.11,0.54,0.392,POU2F1/IBA57___POU2F1.zip
POU2F1,CDC37,BUB3,0.2312,0.0772,0.5,0.354,POU2F1/CDC37___BUB3.zip
POU2F1,NOP2,SEC31A,0.2259,0.0551,0.44,0.288,POU2F1/NOP2___SEC31A.zip
POU2F1,NBN,CDK12,0.2256,0.168,0.34,0.344,POU2F1/NBN___CDK12.zip
POU2F1,EPB41,NBN,0.2253,0.0451,0.23,0.222,POU2F1/EPB41___NBN.zip
POU2F1,SUPV3L1,KPNA4,0.2253,0.0888,0.55,0.348,POU2F1/SUPV3L1___KPNA4.zip
PSMA2,SNRPC,TXN,0.672,0.3163,0.86,0.512,PSMA2/SNRPC___TXN.zip
PSMA2,PPIB,PPP1R10,0.5371,0.1163,0.77,0.366,PSMA2/PPIB___PPP1R10.zip
PSMA2,TXN,NBN,0.533,0.1653,0.84,0.526,PSMA2/TXN___NBN.zip
PSMA2,PPIB,STIP1,0.5187,0.1233,0.73,0.394,PSMA2/PPIB___STIP1.zip
PSMA2,SNRPC,PPIB,0.5066,0.1714,0.56,0.282,PSMA2/SNRPC___PPIB.zip
PSMA2,TXN,MRPL15,0.4537,0.3439,0.79,0.708,PSMA2/TXN___MRPL15.zip
PSMA2,EPB41,ACTR2,0.4508,0.0902,0.83,0.364,PSMA2/EPB41___ACTR2.zip
PSMA2,CIP2A,TXLNA,0.4396,0.0956,0.28,0.24,PSMA2/CIP2A___TXLNA.zip
PSMA2,CIP2A,SAFB,0.3891,0.2089,0.24,0.214,PSMA2/CIP2A___SAFB.zip
PSMA2,MARS2,STIP1,0.3706,0.0741,0.69,0.27,PSMA2/MARS2___STIP1.zip
PSMA2,EDC3,PPIB,0.3609,0.2448,0.59,0.492,PSMA2/EDC3___PPIB.zip
PSMA2,NBN,PPP1R10,0.3508,0.2943,0.26,0.258,PSMA2/NBN___PPP1R10.zip
PSMA2,GNAI3,PPIB,0.3371,0.1362,0.67,0.454,PSMA2/GNAI3___PPIB.zip
PSMA2,NBN,SAFB,0.333,0.3153,0.36,0.362,PSMA2/NBN___SAFB.zip
PSMA2,SGPL1,ASPH,0.3295,0.188,0.41,0.32,PSMA2/SGPL1___ASPH.zip
PSMA2,GNAI3,PPP1R10,0.3239,0.216,0.72,0.554,PSMA2/GNAI3___PPP1R10.zip
PSMA2,SAFB,NUP107,0.3143,0.1688,0.45,0.37,PSMA2/SAFB___NUP107.zip
PSMA2,MRPL12,PPIB,0.3129,0.0626,0.46,0.188,PSMA2/MRPL12___PPIB.zip
PSMA2,ACTR2,ASPH,0.3104,0.0761,0.72,0.45,PSMA2/ACTR2___ASPH.zip
PSMA2,ASPH,PSMA2,0.3018,0.1099,0.71,0.352,PSMA2/ASPH___PSMA2.zip
PSMA2,ASPH,ATXN2L,0.2814,0.2112,0.46,0.408,PSMA2/ASPH___ATXN2L.zip
PSMA2,EDC3,EPB41,0.2714,0.1019,0.34,0.26,PSMA2/EDC3___EPB41.zip
PSMA2,EPB41,PPP1R10,0.2713,0.0607,0.36,0.252,PSMA2/EPB41___PPP1R10.zip
PSMA2,SNRPC,IBA57,0.263,0.0964,0.41,0.222,PSMA2/SNRPC___IBA57.zip
PSMA2,STIP1,PPP1R10,0.2604,0.1162,0.34,0.254,PSMA2/STIP1___PPP1R10.zip
PSMA2,PPIB,XRN2,0.2514,0.0614,0.62,0.318,PSMA2/PPIB___XRN2.zip
PSMA2,PSMA4,PPP1R10,0.2511,0.0924,0.68,0.454,PSMA2/PSMA4___PPP1R10.zip
PSMA2,GNAI3,NBN,0.2489,0.0813,0.61,0.404,PSMA2/GNAI3___NBN.zip
PSMA2,GNAI3,EPB41,0.2485,0.0497,0.64,0.334,PSMA2/GNAI3___EPB41.zip
PSMA2,SAFB,ASPH,0.2458,0.1077,0.37,0.27,PSMA2/SAFB___ASPH.zip
PSMA2,EPB41,STIP1,0.2434,0.0501,0.33,0.28,PSMA2/EPB41___STIP1.zip
PSMA2,SAFB,ACTR2,0.2374,0.0759,0.58,0.376,PSMA2/SAFB___ACTR2.zip
PSMA2,NBN,ASPH,0.2339,0.0702,0.34,0.256,PSMA2/NBN___ASPH.zip
PSMA2,SAFB,XRN2,0.2288,0.0987,0.44,0.35,PSMA2/SAFB___XRN2.zip
PSMA2,NBN,ACTR2,0.2256,0.0451,0.66,0.312,PSMA2/NBN___ACTR2.zip
PSMA2,NBN,PPIB,0.2246,0.1191,0.49,0.4,PSMA2/NBN___PPIB.zip
PSMA2,CIP2A,ASPH,0.2238,0.0682,0.38,0.282,PSMA2/CIP2A___ASPH.zip
PTBP1,TLE3,TXN,0.7223,0.4075,0.93,0.762,PTBP1/TLE3___TXN.zip
PTBP1,TLE3,FUBP3,0.6805,0.3128,0.49,0.354,PTBP1/TLE3___FUBP3.zip
PTBP1,MRPL12,ANP32A,0.6804,0.3323,0.62,0.44,PTBP1/MRPL12___ANP32A.zip
PTBP1,SNRPC,TXN,0.672,0.3163,0.86,0.512,PTBP1/SNRPC___TXN.zip
PTBP1,CIZ1,SAFB,0.6652,0.6534,0.24,0.246,PTBP1/CIZ1___SAFB.zip
PTBP1,SF1,CHERP,0.6518,0.6148,0.21,0.212,PTBP1/SF1___CHERP.zip
PTBP1,KHSRP,SRSF11,0.6479,0.3507,0.33,0.264,PTBP1/KHSRP___SRSF11.zip
PTBP1,MATR3,CIZ1,0.6367,0.6019,0.24,0.238,PTBP1/MATR3___CIZ1.zip
PTBP1,SFPQ,PSPC1,0.6349,0.607,0.55,0.544,PTBP1/SFPQ___PSPC1.zip
PTBP1,SFPQ,NONO,0.6307,0.6092,0.59,0.586,PTBP1/SFPQ___NONO.zip
PTBP1,RPS12,GFP,0.629,0.1258,0.79,0.27,PTBP1/RPS12___GFP.zip
PTBP1,NONO,PSPC1,0.6281,0.5982,0.58,0.57,PTBP1/NONO___PSPC1.zip
PTBP1,CDC37,SRSF11,0.6226,0.1245,0.5,0.236,PTBP1/CDC37___SRSF11.zip
PTBP1,SNRPC,RAVER1,0.6181,0.4719,0.48,0.398,PTBP1/SNRPC___RAVER1.zip
PTBP1,KHSRP,ANP32A,0.6089,0.178,0.61,0.358,PTBP1/KHSRP___ANP32A.zip
PTBP1,AGAP3,SRSF11,0.6051,0.2477,0.37,0.288,PTBP1/AGAP3___SRSF11.zip
PTBP1,TXN,SAFB,0.6043,0.1209,0.86,0.326,PTBP1/TXN___SAFB.zip
PTBP1,SMAP,TLE3,0.596,0.1815,0.45,0.268,PTBP1/SMAP___TLE3.zip
PTBP1,FUBP1,TLE3,0.5959,0.1896,0.46,0.292,PTBP1/FUBP1___TLE3.zip
PTBP1,CSTB,ZFR,0.5807,0.2002,0.87,0.462,PTBP1/CSTB___ZFR.zip
PTBP1,RBM33,GFP,0.5795,0.123,0.88,0.462,PTBP1/RBM33___GFP.zip
PTBP1,ATP5PD,TLE3,0.578,0.4523,0.45,0.396,PTBP1/ATP5PD___TLE3.zip
PTBP1,TXN,RAVER1,0.5762,0.1953,0.88,0.546,PTBP1/TXN___RAVER1.zip
PTBP1,SET,SRSF11,0.575,0.4212,0.58,0.486,PTBP1/SET___SRSF11.zip
PTBP1,ZFR,RPS12,0.5722,0.1593,0.87,0.43,PTBP1/ZFR___RPS12.zip
PTBP1,NASP,PDK1,0.5676,0.4749,0.34,0.332,PTBP1/NASP___PDK1.zip
PTBP1,NASP,SRSF11,0.5669,0.1416,0.36,0.25,PTBP1/NASP___SRSF11.zip
PTBP1,SUGP2,DHX15,0.5643,0.5345,0.78,0.766,PTBP1/SUGP2___DHX15.zip
PTBP1,ANP32A,CCNT1,0.56,0.112,0.64,0.276,PTBP1/ANP32A___CCNT1.zip
PTBP1,CHERP,DHX15,0.5584,0.5435,0.77,0.758,PTBP1/CHERP___DHX15.zip
PTBP1,TLE3,KHSRP,0.5554,0.1901,0.46,0.306,PTBP1/TLE3___KHSRP.zip
PTBP1,ANP32A,FUBP3,0.555,0.111,0.56,0.248,PTBP1/ANP32A___FUBP3.zip
PTBP1,ANP32A,DAZAP1,0.5527,0.1944,0.61,0.336,PTBP1/ANP32A___DAZAP1.zip
PTBP1,SF3B2,SF3A3,0.551,0.4665,0.31,0.318,PTBP1/SF3B2___SF3A3.zip
PTBP1,NASP,PPP1R10,0.5363,0.4286,0.38,0.382,PTBP1/NASP___PPP1R10.zip
PTBP1,SMAP,DHX15,0.5336,0.5087,0.7,0.682,PTBP1/SMAP___DHX15.zip
PTBP1,NASP,SNRPC,0.5326,0.2572,0.42,0.318,PTBP1/NASP___SNRPC.zip
PTBP1,ANP32A,CHERP,0.5225,0.3173,0.67,0.498,PTBP1/ANP32A___CHERP.zip
PTBP1,ZFR,ZNF503,0.5142,0.1511,0.38,0.274,PTBP1/ZFR___ZNF503.zip
PTBP1,NASP,SMAP,0.5111,0.3942,0.36,0.306,PTBP1/NASP___SMAP.zip
PTBP1,SRSF11,PTBP1,0.5075,0.2814,0.27,0.244,PTBP1/SRSF11___PTBP1.zip
PTBP1,NASP,PRMT1,0.5012,0.1769,0.34,0.304,PTBP1/NASP___PRMT1.zip
PTBP1,PTBP3,MATR3,0.4973,0.288,0.3,0.268,PTBP1/PTBP3___MATR3.zip
PTBP1,PDK1,LUC7L2,0.4957,0.0991,0.71,0.298,PTBP1/PDK1___LUC7L2.zip
PTBP1,ZNF503,CDC5L,0.4957,0.2618,0.32,0.254,PTBP1/ZNF503___CDC5L.zip
PTBP1,PTBP3,PCBP2,0.4935,0.2051,0.45,0.308,PTBP1/PTBP3___PCBP2.zip
PTBP1,CIZ1,PTBP1,0.4928,0.2855,0.3,0.278,PTBP1/CIZ1___PTBP1.zip
PTBP1,FAM50A,RBM33,0.4927,0.1093,0.51,0.292,PTBP1/FAM50A___RBM33.zip
PTBP1,SAFB,ZNF503,0.4921,0.0984,0.22,0.186,PTBP1/SAFB___ZNF503.zip
PTBP1,PTBP3,CIZ1,0.4903,0.272,0.3,0.276,PTBP1/PTBP3___CIZ1.zip
PTBP1,FUBP1,ANP32A,0.4898,0.1335,0.57,0.358,PTBP1/FUBP1___ANP32A.zip
PTBP1,FUBP1,CDC37,0.4882,0.0976,0.5,0.248,PTBP1/FUBP1___CDC37.zip
PTBP1,NASP,RBM4,0.4849,0.4454,0.33,0.328,PTBP1/NASP___RBM4.zip
PTBP1,NASP,DAZAP1,0.4843,0.3418,0.31,0.254,PTBP1/NASP___DAZAP1.zip
PTBP1,SUGP2,DNAJA1,0.4807,0.2611,0.3,0.266,PTBP1/SUGP2___DNAJA1.zip
PTBP1,SUGP2,SF1,0.4801,0.1695,0.22,0.192,PTBP1/SUGP2___SF1.zip
PTBP1,PTBP3,SRSF11,0.4779,0.3143,0.27,0.254,PTBP1/PTBP3___SRSF11.zip
PTBP1,SUGP2,SMAP,0.4771,0.1593,0.28,0.218,PTBP1/SUGP2___SMAP.zip
PTBP1,EDC3,PDK1,0.4767,0.3291,0.26,0.236,PTBP1/EDC3___PDK1.zip
PTBP1,SNRPC,SUPT5H,0.4721,0.2103,0.41,0.296,PTBP1/SNRPC___SUPT5H.zip
PTBP1,NASP,NCL,0.471,0.4116,0.35,0.348,PTBP1/NASP___NCL.zip
PTBP1,DDX17,U2SURP,0.4679,0.0936,0.33,0.248,PTBP1/DDX17___U2SURP.zip
PTBP1,MATR3,PTBP1,0.4673,0.3363,0.3,0.282,PTBP1/MATR3___PTBP1.zip
PTBP1,MRPL12,CDC37,0.4592,0.1051,0.4,0.21,PTBP1/MRPL12___CDC37.zip
PTBP1,ZFR,PDK1,0.4568,0.0955,0.73,0.402,PTBP1/ZFR___PDK1.zip
PTBP1,NASP,CIZ1,0.4565,0.129,0.36,0.256,PTBP1/NASP___CIZ1.zip
PTBP1,CDK4,CCNT1,0.4521,0.4291,0.76,0.75,PTBP1/CDK4___CCNT1.zip
PTBP1,SET,EPB41,0.452,0.2297,0.39,0.328,PTBP1/SET___EPB41.zip
PTBP1,PTBP3,RAVER1,0.4489,0.3343,0.29,0.278,PTBP1/PTBP3___RAVER1.zip
PTBP1,SFPQ,NASP,0.4489,0.3299,0.34,0.312,PTBP1/SFPQ___NASP.zip
PTBP1,KHSRP,CHERP,0.4464,0.2745,0.23,0.238,PTBP1/KHSRP___CHERP.zip
PTBP1,RAVER1,PTBP1,0.4452,0.2858,0.29,0.266,PTBP1/RAVER1___PTBP1.zip
PTBP1,FUBP1,SRSF11,0.4447,0.1757,0.3,0.24,PTBP1/FUBP1___SRSF11.zip
PTBP1,SF1,RBM33,0.4446,0.1192,0.35,0.278,PTBP1/SF1___RBM33.zip
PTBP1,ZFR,TXN,0.4438,0.264,0.86,0.74,PTBP1/ZFR___TXN.zip
PTBP1,ATP5PD,ZFR,0.4424,0.0885,0.45,0.228,PTBP1/ATP5PD___ZFR.zip
PTBP1,CSTB,STIP1,0.4415,0.309,0.85,0.722,PTBP1/CSTB___STIP1.zip
PTBP1,SMAP,ANP32A,0.4381,0.1372,0.5,0.238,PTBP1/SMAP___ANP32A.zip
PTBP1,ZNF503,RB1,0.4377,0.1539,0.56,0.334,PTBP1/ZNF503___RB1.zip
PTBP1,SMAP,HMGB1,0.4366,0.2595,0.35,0.306,PTBP1/SMAP___HMGB1.zip
PTBP1,FUBP3,SRSF11,0.4361,0.1761,0.28,0.232,PTBP1/FUBP3___SRSF11.zip
PTBP1,CCNT1,ZBTB33,0.4317,0.0905,0.38,0.232,PTBP1/CCNT1___ZBTB33.zip
PTBP1,RAVER1,RBM4,0.4284,0.0857,0.42,0.226,PTBP1/RAVER1___RBM4.zip
PTBP1,PDK1,U2SURP,0.4269,0.2514,0.71,0.576,PTBP1/PDK1___U2SURP.zip
PTBP1,SMAP,ZFR,0.4269,0.1134,0.34,0.244,PTBP1/SMAP___ZFR.zip
PTBP1,SMAP,EPB41,0.4267,0.0904,0.4,0.26,PTBP1/SMAP___EPB41.zip
PTBP1,ZBTB33,GFP,0.4267,0.1516,0.81,0.414,PTBP1/ZBTB33___GFP.zip
PTBP1,NASP,FUS,0.4181,0.338,0.3,0.262,PTBP1/NASP___FUS.zip
PTBP1,ZFR,ZBTB33,0.4171,0.173,0.3,0.246,PTBP1/ZFR___ZBTB33.zip
PTBP1,SAR1A,AGAP3,0.4154,0.1298,0.77,0.48,PTBP1/SAR1A___AGAP3.zip
PTBP1,ZBTB33,ZNF503,0.4142,0.2042,0.19,0.224,PTBP1/ZBTB33___ZNF503.zip
PTBP1,FUBP1,CDK4,0.413,0.1127,0.71,0.408,PTBP1/FUBP1___CDK4.zip
PTBP1,TLE3,DNAJA1,0.4123,0.2341,0.43,0.296,PTBP1/TLE3___DNAJA1.zip
PTBP1,NASP,SF3B2,0.4042,0.3027,0.33,0.304,PTBP1/NASP___SF3B2.zip
PTBP1,PSPC1,SRSF11,0.4041,0.2049,0.41,0.296,PTBP1/PSPC1___SRSF11.zip
PTBP1,TLE3,GFP,0.4039,0.32,0.35,0.298,PTBP1/TLE3___GFP.zip
PTBP1,ZBTB33,SRSF11,0.4029,0.1113,0.24,0.19,PTBP1/ZBTB33___SRSF11.zip
PTBP1,MATR3,TXN,0.4019,0.1419,0.85,0.508,PTBP1/MATR3___TXN.zip
PTBP1,TLE3,SAFB,0.4016,0.3372,0.3,0.284,PTBP1/TLE3___SAFB.zip
PTBP1,TXN,ZBTB33,0.3962,0.1264,0.79,0.426,PTBP1/TXN___ZBTB33.zip
PTBP1,SAFB,ZBTB33,0.3943,0.0833,0.29,0.198,PTBP1/SAFB___ZBTB33.zip
PTBP1,SMAP,RB1,0.3895,0.172,0.44,0.312,PTBP1/SMAP___RB1.zip
PTBP1,SF1,SRSF11,0.3887,0.2827,0.25,0.226,PTBP1/SF1___SRSF11.zip
PTBP1,TLE3,SRSF11,0.3851,0.3355,0.41,0.374,PTBP1/TLE3___SRSF11.zip
PTBP1,NONO,SAFB,0.3839,0.1772,0.37,0.306,PTBP1/NONO___SAFB.zip
PTBP1,KHSRP,ZFR,0.3834,0.1823,0.35,0.284,PTBP1/KHSRP___ZFR.zip
PTBP1,SUGP2,NASP,0.383,0.116,0.36,0.278,PTBP1/SUGP2___NASP.zip
PTBP1,RAVER1,SRSF11,0.38,0.1453,0.37,0.246,PTBP1/RAVER1___SRSF11.zip
PTBP1,SNRPC,CDC5L,0.3765,0.1966,0.36,0.272,PTBP1/SNRPC___CDC5L.zip
PTBP1,NASP,PSPC1,0.3763,0.3306,0.3,0.282,PTBP1/NASP___PSPC1.zip
PTBP1,SFPQ,SAFB,0.3741,0.1657,0.32,0.268,PTBP1/SFPQ___SAFB.zip
PTBP1,ZBTB33,DDX17,0.3732,0.0808,0.47,0.28,PTBP1/ZBTB33___DDX17.zip
PTBP1,PPP1R10,DNAJA1,0.3714,0.084,0.43,0.26,PTBP1/PPP1R10___DNAJA1.zip
PTBP1,PTBP3,CCAR2,0.3704,0.1697,0.29,0.24,PTBP1/PTBP3___CCAR2.zip
PTBP1,ZBTB33,PPP1R10,0.37,0.2541,0.24,0.23,PTBP1/ZBTB33___PPP1R10.zip
PTBP1,ZFR,DHX15,0.3677,0.2302,0.7,0.606,PTBP1/ZFR___DHX15.zip
PTBP1,SET,STIP1,0.3671,0.2154,0.3,0.272,PTBP1/SET___STIP1.zip
PTBP1,NASP,CDC37,0.3655,0.2447,0.41,0.364,PTBP1/NASP___CDC37.zip
PTBP1,PPP1R10,RB1,0.3643,0.1428,0.53,0.384,PTBP1/PPP1R10___RB1.zip
PTBP1,SET,SAFB,0.3638,0.0859,0.45,0.294,PTBP1/SET___SAFB.zip
PTBP1,EPB41,TLE3,0.3629,0.2692,0.36,0.326,PTBP1/EPB41___TLE3.zip
PTBP1,SF3B2,ZNF503,0.3627,0.0725,0.22,0.176,PTBP1/SF3B2___ZNF503.zip
PTBP1,FUBP1,RAVER1,0.3624,0.1963,0.44,0.388,PTBP1/FUBP1___RAVER1.zip
PTBP1,U2SURP,CDC5L,0.361,0.1344,0.32,0.232,PTBP1/U2SURP___CDC5L.zip
PTBP1,TXN,DNAJA1,0.3606,0.0721,0.72,0.248,PTBP1/TXN___DNAJA1.zip
PTBP1,CCNT1,FUBP3,0.3598,0.1385,0.36,0.27,PTBP1/CCNT1___FUBP3.zip
PTBP1,FUBP1,ZFR,0.3573,0.2272,0.3,0.278,PTBP1/FUBP1___ZFR.zip
PTBP1,CDK4,CDC5L,0.3569,0.2429,0.7,0.558,PTBP1/CDK4___CDC5L.zip
PTBP1,NASP,CDC5L,0.3546,0.1046,0.33,0.238,PTBP1/NASP___CDC5L.zip
PTBP1,NASP,FUBP3,0.3545,0.0817,0.33,0.228,PTBP1/NASP___FUBP3.zip
PTBP1,ZNF503,GFP,0.3542,0.1183,0.63,0.4,PTBP1/ZNF503___GFP.zip
PTBP1,SAFB,CDC37,0.3538,0.187,0.23,0.214,PTBP1/SAFB___CDC37.zip
PTBP1,HMGB1,SF3A3,0.3516,0.2436,0.46,0.424,PTBP1/HMGB1___SF3A3.zip
PTBP1,NASP,NONO,0.3515,0.2935,0.29,0.268,PTBP1/NASP___NONO.zip
PTBP1,CIZ1,PSPC1,0.3512,0.1471,0.47,0.38,PTBP1/CIZ1___PSPC1.zip
PTBP1,CCNT1,ZNF503,0.3507,0.1891,0.32,0.28,PTBP1/CCNT1___ZNF503.zip
PTBP1,SF1,PCCA,0.35,0.3062,0.52,0.492,PTBP1/SF1___PCCA.zip
PTBP1,ATP5PD,EDC3,0.3485,0.2617,0.4,0.336,PTBP1/ATP5PD___EDC3.zip
PTBP1,CIZ1,SET,0.3462,0.226,0.57,0.488,PTBP1/CIZ1___SET.zip
PTBP1,TXN,SF1,0.3432,0.0686,0.74,0.338,PTBP1/TXN___SF1.zip
PTBP1,CDC37,ZNF503,0.3419,0.2642,0.45,0.4,PTBP1/CDC37___ZNF503.zip
PTBP1,PTBP3,PPP1R10,0.3412,0.1694,0.27,0.242,PTBP1/PTBP3___PPP1R10.zip
PTBP1,FUBP1,CHERP,0.3406,0.1347,0.22,0.21,PTBP1/FUBP1___CHERP.zip
PTBP1,CIZ1,CDC37,0.3393,0.0836,0.42,0.274,PTBP1/CIZ1___CDC37.zip
PTBP1,NASP,ZFR,0.339,0.2646,0.36,0.332,PTBP1/NASP___ZFR.zip
PTBP1,SMAP,CDC37,0.3386,0.13,0.32,0.224,PTBP1/SMAP___CDC37.zip
PTBP1,MRPL12,PDK1,0.3385,0.0677,0.54,0.274,PTBP1/MRPL12___PDK1.zip
