source,target,screen,ilis,lis,clis,iptm,score,bundle
NBN,SAMM50,POU2F1,0.3763,0.256,0.5531,0.68,5,POU2F1/NBN___SAMM50.zip
NOP2,COX5B,POU2F1,0.3739,0.2717,0.5145,0.46,3,POU2F1/NOP2___COX5B.zip
NOP2,KPNA4,POU2F1,0.3686,0.284,0.4783,0.64,5,POU2F1/NOP2___KPNA4.zip
NBN,SEC31A,POU2F1,0.3654,0.2715,0.4918,0.35,3,POU2F1/NBN___SEC31A.zip
BUB3,SETD1A,POU2F1,0.3552,0.2485,0.5078,0.73,5,POU2F1/BUB3___SETD1A.zip
NBN,POU2F1,POU2F1,0.3463,0.2129,0.5634,0.37,3,POU2F1/NBN___POU2F1.zip
COX5B,CDK12,POU2F1,0.3462,0.2513,0.4769,0.54,5,POU2F1/COX5B___CDK12.zip
BOP1,POU2F1,POU2F1,0.3456,0.2146,0.5564,0.24,3,POU2F1/BOP1___POU2F1.zip
MRPL12,KPNA4,POU2F1,0.3454,0.2754,0.4333,0.48,5,POU2F1/MRPL12___KPNA4.zip
NBN,SETD1A,POU2F1,0.3436,0.2631,0.4486,0.31,3,POU2F1/NBN___SETD1A.zip
NOP2,PRPF19,POU2F1,0.3412,0.2402,0.4846,0.5,4,POU2F1/NOP2___PRPF19.zip
EPB41,CDK12,POU2F1,0.3389,0.2751,0.4175,0.45,3,POU2F1/EPB41___CDK12.zip
RAD50,CDC37,POU2F1,0.3373,0.2128,0.5346,0.47,3,POU2F1/RAD50___CDC37.zip
CDK12,BUB3,POU2F1,0.3364,0.2685,0.4216,0.73,5,POU2F1/CDK12___BUB3.zip
HARS2,PRPF19,POU2F1,0.3233,0.1885,0.5546,0.55,5,POU2F1/HARS2___PRPF19.zip
FUS,GFP,POU2F1,0.3214,0.2257,0.4578,0.69,5,POU2F1/FUS___GFP.zip
KPNA4,EMC7,POU2F1,0.3209,0.2578,0.3996,0.45,3,POU2F1/KPNA4___EMC7.zip
BOP1,BUB3,POU2F1,0.3062,0.2387,0.3929,0.68,5,POU2F1/BOP1___BUB3.zip
SEPTIN2,NOP2,POU2F1,0.3051,0.239,0.3895,0.63,5,POU2F1/SEPTIN2___NOP2.zip
CDC37,SETD1A,POU2F1,0.3037,0.2317,0.398,0.46,3,POU2F1/CDC37___SETD1A.zip
KPNA4,SETD1A,POU2F1,0.3019,0.2345,0.3886,0.53,4,POU2F1/KPNA4___SETD1A.zip
EMC7,STIP1,POU2F1,0.3002,0.2012,0.4478,0.39,3,POU2F1/EMC7___STIP1.zip
NOP2,FUS,POU2F1,0.2929,0.2023,0.4241,0.4,3,POU2F1/NOP2___FUS.zip
CDK12,POU2F1,POU2F1,0.2926,0.1962,0.4365,0.26,3,POU2F1/CDK12___POU2F1.zip
NBN,CDC37,POU2F1,0.292,0.2381,0.3582,0.38,3,POU2F1/NBN___CDC37.zip
OLA1,BOP1,POU2F1,0.291,0.2177,0.3889,0.62,5,POU2F1/OLA1___BOP1.zip
OLA1,NBN,POU2F1,0.2907,0.2084,0.4055,0.65,5,POU2F1/OLA1___NBN.zip
CDC37,EMC7,POU2F1,0.2865,0.2215,0.3707,0.27,3,POU2F1/CDC37___EMC7.zip
DLAT,KPNA4,POU2F1,0.2818,0.232,0.3424,0.54,5,POU2F1/DLAT___KPNA4.zip
EPB41,NOP2,POU2F1,0.2791,0.1958,0.3977,0.38,3,POU2F1/EPB41___NOP2.zip
PYGB,BUB3,POU2F1,0.273,0.1831,0.407,0.69,5,POU2F1/PYGB___BUB3.zip
KPNA4,FUS,POU2F1,0.2722,0.2551,0.2905,0.6,4,POU2F1/KPNA4___FUS.zip
NBN,BUB3,POU2F1,0.2709,0.2021,0.3631,0.66,5,POU2F1/NBN___BUB3.zip
ACTN4,FUS,POU2F1,0.2682,0.2068,0.3477,0.34,3,POU2F1/ACTN4___FUS.zip
NBN,GFP,POU2F1,0.263,0.2051,0.3372,0.3,3,POU2F1/NBN___GFP.zip
SUPV3L1,SEC31A,POU2F1,0.2622,0.1832,0.3753,0.47,3,POU2F1/SUPV3L1___SEC31A.zip
NOP2,POU2F1,POU2F1,0.2609,0.1801,0.378,0.42,3,POU2F1/NOP2___POU2F1.zip
GPD2,BUB3,POU2F1,0.2553,0.221,0.295,0.48,4,POU2F1/GPD2___BUB3.zip
WASHC5,SAMM50,POU2F1,0.2526,0.1366,0.4671,0.47,3,POU2F1/WASHC5___SAMM50.zip
NCKAP1,FUS,POU2F1,0.2492,0.161,0.3857,0.56,4,POU2F1/NCKAP1___FUS.zip
SAMM50,POU2F1,POU2F1,0.2485,0.2017,0.3062,0.46,3,POU2F1/SAMM50___POU2F1.zip
ACTN4,NCKAP1,POU2F1,0.2479,0.1954,0.3144,0.6,5,POU2F1/ACTN4___NCKAP1.zip
EPB41,STIP1,POU2F1,0.2434,0.1958,0.3027,0.33,3,POU2F1/EPB41___STIP1.zip
CDK12,PRPF19,POU2F1,0.2395,0.177,0.3239,0.51,4,POU2F1/CDK12___PRPF19.zip
EPB41,BOP1,POU2F1,0.2393,0.1935,0.2958,0.32,2,POU2F1/EPB41___BOP1.zip
WASHC5,SEC31A,POU2F1,0.2384,0.1738,0.3269,0.54,5,POU2F1/WASHC5___SEC31A.zip
RAD50,NOP2,POU2F1,0.2383,0.1492,0.3807,0.42,2,POU2F1/RAD50___NOP2.zip
PSPC1,NCKAP1,POU2F1,0.2375,0.1754,0.3215,0.5,5,POU2F1/PSPC1___NCKAP1.zip
KPNA4,MYH9,POU2F1,0.2365,0.1698,0.3293,0.55,5,POU2F1/KPNA4___MYH9.zip
SAMM50,FUS,POU2F1,0.233,0.1838,0.2954,0.37,2,POU2F1/SAMM50___FUS.zip
IBA57,POU2F1,POU2F1,0.2323,0.1448,0.3728,0.54,4,POU2F1/IBA57___POU2F1.zip
CDC37,BUB3,POU2F1,0.2312,0.1903,0.2809,0.5,4,POU2F1/CDC37___BUB3.zip
NOP2,SEC31A,POU2F1,0.2259,0.1429,0.3574,0.44,2,POU2F1/NOP2___SEC31A.zip
NBN,CDK12,POU2F1,0.2256,0.187,0.2722,0.34,2,POU2F1/NBN___CDK12.zip
EPB41,NBN,POU2F1,0.2253,0.1776,0.2859,0.23,2,POU2F1/EPB41___NBN.zip
SUPV3L1,KPNA4,POU2F1,0.2253,0.1777,0.2856,0.55,4,POU2F1/SUPV3L1___KPNA4.zip
SNRPC,TXN,PSMA2,0.672,0.5465,0.8264,0.86,5,PSMA2/SNRPC___TXN.zip
PPIB,PPP1R10,PSMA2,0.5371,0.4515,0.6389,0.77,5,PSMA2/PPIB___PPP1R10.zip
TXN,NBN,PSMA2,0.533,0.3936,0.7218,0.84,5,PSMA2/TXN___NBN.zip
PPIB,STIP1,PSMA2,0.5187,0.4032,0.6674,0.73,5,PSMA2/PPIB___STIP1.zip
SNRPC,PPIB,PSMA2,0.5066,0.4159,0.6171,0.56,5,PSMA2/SNRPC___PPIB.zip
TXN,MRPL15,PSMA2,0.4537,0.2771,0.7429,0.79,5,PSMA2/TXN___MRPL15.zip
EPB41,ACTR2,PSMA2,0.4508,0.377,0.5389,0.83,5,PSMA2/EPB41___ACTR2.zip
CIP2A,TXLNA,PSMA2,0.4396,0.3249,0.5948,0.28,3,PSMA2/CIP2A___TXLNA.zip
CIP2A,SAFB,PSMA2,0.3891,0.3011,0.5029,0.24,3,PSMA2/CIP2A___SAFB.zip
MARS2,STIP1,PSMA2,0.3706,0.2577,0.5329,0.69,5,PSMA2/MARS2___STIP1.zip
EDC3,PPIB,PSMA2,0.3609,0.2428,0.5364,0.59,5,PSMA2/EDC3___PPIB.zip
NBN,PPP1R10,PSMA2,0.3508,0.2574,0.4781,0.26,3,PSMA2/NBN___PPP1R10.zip
GNAI3,PPIB,PSMA2,0.3371,0.2131,0.5332,0.67,5,PSMA2/GNAI3___PPIB.zip
NBN,SAFB,PSMA2,0.333,0.2559,0.4333,0.36,3,PSMA2/NBN___SAFB.zip
SGPL1,ASPH,PSMA2,0.3295,0.2547,0.4263,0.41,3,PSMA2/SGPL1___ASPH.zip
GNAI3,PPP1R10,PSMA2,0.3239,0.2621,0.4001,0.72,5,PSMA2/GNAI3___PPP1R10.zip
SAFB,NUP107,PSMA2,0.3143,0.2338,0.4225,0.45,3,PSMA2/SAFB___NUP107.zip
MRPL12,PPIB,PSMA2,0.3129,0.26,0.3767,0.46,3,PSMA2/MRPL12___PPIB.zip
ACTR2,ASPH,PSMA2,0.3104,0.2109,0.4567,0.72,5,PSMA2/ACTR2___ASPH.zip
ASPH,PSMA2,PSMA2,0.3018,0.2077,0.4385,0.71,5,PSMA2/ASPH___PSMA2.zip
ASPH,ATXN2L,PSMA2,0.2814,0.2033,0.3895,0.46,3,PSMA2/ASPH___ATXN2L.zip
EDC3,EPB41,PSMA2,0.2714,0.2092,0.3521,0.34,3,PSMA2/EDC3___EPB41.zip
EPB41,PPP1R10,PSMA2,0.2713,0.218,0.3376,0.36,3,PSMA2/EPB41___PPP1R10.zip
SNRPC,IBA57,PSMA2,0.263,0.2109,0.3278,0.41,3,PSMA2/SNRPC___IBA57.zip
STIP1,PPP1R10,PSMA2,0.2604,0.1626,0.4171,0.34,2,PSMA2/STIP1___PPP1R10.zip
PPIB,XRN2,PSMA2,0.2514,0.1385,0.4561,0.62,4,PSMA2/PPIB___XRN2.zip
PSMA4,PPP1R10,PSMA2,0.2511,0.1943,0.3245,0.68,5,PSMA2/PSMA4___PPP1R10.zip
GNAI3,NBN,PSMA2,0.2489,0.1402,0.4418,0.61,4,PSMA2/GNAI3___NBN.zip
GNAI3,EPB41,PSMA2,0.2485,0.1612,0.3831,0.64,4,PSMA2/GNAI3___EPB41.zip
SAFB,ASPH,PSMA2,0.2458,0.1731,0.3492,0.37,3,PSMA2/SAFB___ASPH.zip
EPB41,STIP1,PSMA2,0.2434,0.1958,0.3027,0.33,3,PSMA2/EPB41___STIP1.zip
SAFB,ACTR2,PSMA2,0.2374,0.1444,0.3902,0.58,4,PSMA2/SAFB___ACTR2.zip
NBN,ASPH,PSMA2,0.2339,0.1665,0.3285,0.34,2,PSMA2/NBN___ASPH.zip
SAFB,XRN2,PSMA2,0.2288,0.1749,0.2994,0.44,3,PSMA2/SAFB___XRN2.zip
NBN,ACTR2,PSMA2,0.2256,0.1674,0.3041,0.66,4,PSMA2/NBN___ACTR2.zip
NBN,PPIB,PSMA2,0.2246,0.1868,0.2699,0.49,3,PSMA2/NBN___PPIB.zip
CIP2A,ASPH,PSMA2,0.2238,0.1828,0.2739,0.38,2,PSMA2/CIP2A___ASPH.zip
TLE3,TXN,PTBP1,0.7223,0.6253,0.8344,0.93,5,PTBP1/TLE3___TXN.zip
TLE3,FUBP3,PTBP1,0.6805,0.5933,0.7805,0.49,4,PTBP1/TLE3___FUBP3.zip
MRPL12,ANP32A,PTBP1,0.6804,0.6293,0.7358,0.62,5,PTBP1/MRPL12___ANP32A.zip
SNRPC,TXN,PTBP1,0.672,0.5465,0.8264,0.86,5,PTBP1/SNRPC___TXN.zip
CIZ1,SAFB,PTBP1,0.6652,0.5534,0.7996,0.24,3,PTBP1/CIZ1___SAFB.zip
SF1,CHERP,PTBP1,0.6518,0.537,0.7912,0.21,3,PTBP1/SF1___CHERP.zip
KHSRP,SRSF11,PTBP1,0.6479,0.5495,0.7639,0.33,3,PTBP1/KHSRP___SRSF11.zip
MATR3,CIZ1,PTBP1,0.6367,0.4924,0.8231,0.24,3,PTBP1/MATR3___CIZ1.zip
SFPQ,PSPC1,PTBP1,0.6349,0.5028,0.8017,0.55,5,PTBP1/SFPQ___PSPC1.zip
SFPQ,NONO,PTBP1,0.6307,0.5028,0.7913,0.59,5,PTBP1/SFPQ___NONO.zip
RPS12,GFP,PTBP1,0.629,0.4945,0.8,0.79,5,PTBP1/RPS12___GFP.zip
NONO,PSPC1,PTBP1,0.6281,0.5027,0.7848,0.58,5,PTBP1/NONO___PSPC1.zip
CDC37,SRSF11,PTBP1,0.6226,0.4825,0.8034,0.5,4,PTBP1/CDC37___SRSF11.zip
SNRPC,RAVER1,PTBP1,0.6181,0.4768,0.8013,0.48,4,PTBP1/SNRPC___RAVER1.zip
KHSRP,ANP32A,PTBP1,0.6089,0.5312,0.6981,0.61,5,PTBP1/KHSRP___ANP32A.zip
AGAP3,SRSF11,PTBP1,0.6051,0.4845,0.7557,0.37,3,PTBP1/AGAP3___SRSF11.zip
TXN,SAFB,PTBP1,0.6043,0.5108,0.715,0.86,5,PTBP1/TXN___SAFB.zip
SMAP,TLE3,PTBP1,0.596,0.5434,0.6536,0.45,3,PTBP1/SMAP___TLE3.zip
FUBP1,TLE3,PTBP1,0.5959,0.4796,0.7403,0.46,3,PTBP1/FUBP1___TLE3.zip
CSTB,ZFR,PTBP1,0.5807,0.4623,0.7294,0.87,5,PTBP1/CSTB___ZFR.zip
RBM33,GFP,PTBP1,0.5795,0.4331,0.7753,0.88,5,PTBP1/RBM33___GFP.zip
ATP5PD,TLE3,PTBP1,0.578,0.422,0.7915,0.45,3,PTBP1/ATP5PD___TLE3.zip
TXN,RAVER1,PTBP1,0.5762,0.4316,0.7692,0.88,5,PTBP1/TXN___RAVER1.zip
SET,SRSF11,PTBP1,0.575,0.4521,0.7312,0.58,5,PTBP1/SET___SRSF11.zip
ZFR,RPS12,PTBP1,0.5722,0.4337,0.755,0.87,5,PTBP1/ZFR___RPS12.zip
NASP,PDK1,PTBP1,0.5676,0.4528,0.7114,0.34,3,PTBP1/NASP___PDK1.zip
NASP,SRSF11,PTBP1,0.5669,0.4617,0.696,0.36,3,PTBP1/NASP___SRSF11.zip
SUGP2,DHX15,PTBP1,0.5643,0.4123,0.7725,0.78,5,PTBP1/SUGP2___DHX15.zip
ANP32A,CCNT1,PTBP1,0.56,0.4462,0.7029,0.64,5,PTBP1/ANP32A___CCNT1.zip
CHERP,DHX15,PTBP1,0.5584,0.4094,0.7617,0.77,5,PTBP1/CHERP___DHX15.zip
TLE3,KHSRP,PTBP1,0.5554,0.4404,0.7004,0.46,3,PTBP1/TLE3___KHSRP.zip
ANP32A,FUBP3,PTBP1,0.555,0.4528,0.6802,0.56,5,PTBP1/ANP32A___FUBP3.zip
ANP32A,DAZAP1,PTBP1,0.5527,0.5659,0.5399,0.61,5,PTBP1/ANP32A___DAZAP1.zip
SF3B2,SF3A3,PTBP1,0.551,0.3963,0.766,0.31,3,PTBP1/SF3B2___SF3A3.zip
NASP,PPP1R10,PTBP1,0.5363,0.4746,0.6059,0.38,3,PTBP1/NASP___PPP1R10.zip
SMAP,DHX15,PTBP1,0.5336,0.4104,0.6937,0.7,5,PTBP1/SMAP___DHX15.zip
NASP,SNRPC,PTBP1,0.5326,0.4826,0.5879,0.42,3,PTBP1/NASP___SNRPC.zip
ANP32A,CHERP,PTBP1,0.5225,0.473,0.5771,0.67,5,PTBP1/ANP32A___CHERP.zip
ZFR,ZNF503,PTBP1,0.5142,0.443,0.5969,0.38,3,PTBP1/ZFR___ZNF503.zip
NASP,SMAP,PTBP1,0.5111,0.425,0.6146,0.36,3,PTBP1/NASP___SMAP.zip
SRSF11,PTBP1,PTBP1,0.5075,0.3986,0.6461,0.27,3,PTBP1/SRSF11___PTBP1.zip
NASP,PRMT1,PTBP1,0.5012,0.4167,0.6028,0.34,3,PTBP1/NASP___PRMT1.zip
PTBP3,MATR3,PTBP1,0.4973,0.396,0.6246,0.3,3,PTBP1/PTBP3___MATR3.zip
PDK1,LUC7L2,PTBP1,0.4957,0.3882,0.633,0.71,5,PTBP1/PDK1___LUC7L2.zip
ZNF503,CDC5L,PTBP1,0.4957,0.3695,0.6649,0.32,3,PTBP1/ZNF503___CDC5L.zip
PTBP3,PCBP2,PTBP1,0.4935,0.3346,0.728,0.45,3,PTBP1/PTBP3___PCBP2.zip
CIZ1,PTBP1,PTBP1,0.4928,0.389,0.6242,0.3,3,PTBP1/CIZ1___PTBP1.zip
FAM50A,RBM33,PTBP1,0.4927,0.3926,0.6184,0.51,4,PTBP1/FAM50A___RBM33.zip
SAFB,ZNF503,PTBP1,0.4921,0.4505,0.5375,0.22,3,PTBP1/SAFB___ZNF503.zip
PTBP3,CIZ1,PTBP1,0.4903,0.3876,0.6201,0.3,3,PTBP1/PTBP3___CIZ1.zip
FUBP1,ANP32A,PTBP1,0.4898,0.4048,0.5928,0.57,5,PTBP1/FUBP1___ANP32A.zip
FUBP1,CDC37,PTBP1,0.4882,0.3455,0.6898,0.5,4,PTBP1/FUBP1___CDC37.zip
NASP,RBM4,PTBP1,0.4849,0.3779,0.6222,0.33,3,PTBP1/NASP___RBM4.zip
NASP,DAZAP1,PTBP1,0.4843,0.3836,0.6114,0.31,3,PTBP1/NASP___DAZAP1.zip
SUGP2,DNAJA1,PTBP1,0.4807,0.3898,0.5928,0.3,3,PTBP1/SUGP2___DNAJA1.zip
SUGP2,SF1,PTBP1,0.4801,0.3845,0.5994,0.22,3,PTBP1/SUGP2___SF1.zip
PTBP3,SRSF11,PTBP1,0.4779,0.3792,0.6022,0.27,3,PTBP1/PTBP3___SRSF11.zip
SUGP2,SMAP,PTBP1,0.4771,0.435,0.5232,0.28,3,PTBP1/SUGP2___SMAP.zip
EDC3,PDK1,PTBP1,0.4767,0.3988,0.5699,0.26,3,PTBP1/EDC3___PDK1.zip
SNRPC,SUPT5H,PTBP1,0.4721,0.3302,0.675,0.41,3,PTBP1/SNRPC___SUPT5H.zip
NASP,NCL,PTBP1,0.471,0.3561,0.623,0.35,3,PTBP1/NASP___NCL.zip
DDX17,U2SURP,PTBP1,0.4679,0.3627,0.6037,0.33,3,PTBP1/DDX17___U2SURP.zip
MATR3,PTBP1,PTBP1,0.4673,0.3737,0.5844,0.3,3,PTBP1/MATR3___PTBP1.zip
MRPL12,CDC37,PTBP1,0.4592,0.3078,0.6851,0.4,3,PTBP1/MRPL12___CDC37.zip
ZFR,PDK1,PTBP1,0.4568,0.3565,0.5853,0.73,5,PTBP1/ZFR___PDK1.zip
NASP,CIZ1,PTBP1,0.4565,0.3625,0.5748,0.36,3,PTBP1/NASP___CIZ1.zip
CDK4,CCNT1,PTBP1,0.4521,0.3024,0.676,0.76,5,PTBP1/CDK4___CCNT1.zip
SET,EPB41,PTBP1,0.452,0.3531,0.5785,0.39,3,PTBP1/SET___EPB41.zip
PTBP3,RAVER1,PTBP1,0.4489,0.3508,0.5744,0.29,3,PTBP1/PTBP3___RAVER1.zip
SFPQ,NASP,PTBP1,0.4489,0.3603,0.5593,0.34,3,PTBP1/SFPQ___NASP.zip
KHSRP,CHERP,PTBP1,0.4464,0.3414,0.5837,0.23,3,PTBP1/KHSRP___CHERP.zip
RAVER1,PTBP1,PTBP1,0.4452,0.36,0.5507,0.29,3,PTBP1/RAVER1___PTBP1.zip
FUBP1,SRSF11,PTBP1,0.4447,0.3711,0.5329,0.3,3,PTBP1/FUBP1___SRSF11.zip
SF1,RBM33,PTBP1,0.4446,0.339,0.583,0.35,3,PTBP1/SF1___RBM33.zip
ZFR,TXN,PTBP1,0.4438,0.2994,0.6578,0.86,5,PTBP1/ZFR___TXN.zip
ATP5PD,ZFR,PTBP1,0.4424,0.2926,0.669,0.45,3,PTBP1/ATP5PD___ZFR.zip
CSTB,STIP1,PTBP1,0.4415,0.3164,0.6159,0.85,5,PTBP1/CSTB___STIP1.zip
SMAP,ANP32A,PTBP1,0.4381,0.4143,0.4633,0.5,5,PTBP1/SMAP___ANP32A.zip
ZNF503,RB1,PTBP1,0.4377,0.2754,0.6958,0.56,5,PTBP1/ZNF503___RB1.zip
SMAP,HMGB1,PTBP1,0.4366,0.3541,0.5382,0.35,3,PTBP1/SMAP___HMGB1.zip
FUBP3,SRSF11,PTBP1,0.4361,0.3543,0.5368,0.28,3,PTBP1/FUBP3___SRSF11.zip
CCNT1,ZBTB33,PTBP1,0.4317,0.3384,0.5506,0.38,3,PTBP1/CCNT1___ZBTB33.zip
RAVER1,RBM4,PTBP1,0.4284,0.3249,0.5649,0.42,3,PTBP1/RAVER1___RBM4.zip
SMAP,ZFR,PTBP1,0.4269,0.3869,0.471,0.34,3,PTBP1/SMAP___ZFR.zip
PDK1,U2SURP,PTBP1,0.4269,0.2661,0.685,0.71,5,PTBP1/PDK1___U2SURP.zip
SMAP,EPB41,PTBP1,0.4267,0.3244,0.5615,0.4,3,PTBP1/SMAP___EPB41.zip
ZBTB33,GFP,PTBP1,0.4267,0.4005,0.4546,0.81,5,PTBP1/ZBTB33___GFP.zip
NASP,FUS,PTBP1,0.4181,0.3415,0.5119,0.3,3,PTBP1/NASP___FUS.zip
ZFR,ZBTB33,PTBP1,0.4171,0.2985,0.5829,0.3,3,PTBP1/ZFR___ZBTB33.zip
SAR1A,AGAP3,PTBP1,0.4154,0.3138,0.55,0.77,5,PTBP1/SAR1A___AGAP3.zip
ZBTB33,ZNF503,PTBP1,0.4142,0.3374,0.5085,0.19,3,PTBP1/ZBTB33___ZNF503.zip
FUBP1,CDK4,PTBP1,0.413,0.3005,0.5676,0.71,5,PTBP1/FUBP1___CDK4.zip
TLE3,DNAJA1,PTBP1,0.4123,0.3591,0.4735,0.43,3,PTBP1/TLE3___DNAJA1.zip
NASP,SF3B2,PTBP1,0.4042,0.2932,0.5573,0.33,3,PTBP1/NASP___SF3B2.zip
PSPC1,SRSF11,PTBP1,0.4041,0.2921,0.559,0.41,3,PTBP1/PSPC1___SRSF11.zip
TLE3,GFP,PTBP1,0.4039,0.3112,0.5241,0.35,3,PTBP1/TLE3___GFP.zip
ZBTB33,SRSF11,PTBP1,0.4029,0.3107,0.5224,0.24,3,PTBP1/ZBTB33___SRSF11.zip
MATR3,TXN,PTBP1,0.4019,0.315,0.5129,0.85,5,PTBP1/MATR3___TXN.zip
TLE3,SAFB,PTBP1,0.4016,0.3356,0.4805,0.3,3,PTBP1/TLE3___SAFB.zip
TXN,ZBTB33,PTBP1,0.3962,0.2798,0.561,0.79,5,PTBP1/TXN___ZBTB33.zip
SAFB,ZBTB33,PTBP1,0.3943,0.2558,0.6077,0.29,3,PTBP1/SAFB___ZBTB33.zip
SMAP,RB1,PTBP1,0.3895,0.26,0.5836,0.44,3,PTBP1/SMAP___RB1.zip
SF1,SRSF11,PTBP1,0.3887,0.2778,0.544,0.25,3,PTBP1/SF1___SRSF11.zip
TLE3,SRSF11,PTBP1,0.3851,0.3269,0.4536,0.41,3,PTBP1/TLE3___SRSF11.zip
NONO,SAFB,PTBP1,0.3839,0.2719,0.5421,0.37,3,PTBP1/NONO___SAFB.zip
KHSRP,ZFR,PTBP1,0.3834,0.2895,0.5077,0.35,3,PTBP1/KHSRP___ZFR.zip
SUGP2,NASP,PTBP1,0.383,0.2906,0.5048,0.36,3,PTBP1/SUGP2___NASP.zip
RAVER1,SRSF11,PTBP1,0.38,0.289,0.4996,0.37,3,PTBP1/RAVER1___SRSF11.zip
SNRPC,CDC5L,PTBP1,0.3765,0.2637,0.5377,0.36,3,PTBP1/SNRPC___CDC5L.zip
NASP,PSPC1,PTBP1,0.3763,0.2692,0.5261,0.3,3,PTBP1/NASP___PSPC1.zip
SFPQ,SAFB,PTBP1,0.3741,0.2583,0.5418,0.32,3,PTBP1/SFPQ___SAFB.zip
ZBTB33,DDX17,PTBP1,0.3732,0.2818,0.4942,0.47,3,PTBP1/ZBTB33___DDX17.zip
PPP1R10,DNAJA1,PTBP1,0.3714,0.2851,0.4838,0.43,3,PTBP1/PPP1R10___DNAJA1.zip
PTBP3,CCAR2,PTBP1,0.3704,0.2804,0.4893,0.29,3,PTBP1/PTBP3___CCAR2.zip
ZBTB33,PPP1R10,PTBP1,0.37,0.2762,0.4958,0.24,3,PTBP1/ZBTB33___PPP1R10.zip
ZFR,DHX15,PTBP1,0.3677,0.2602,0.5196,0.7,5,PTBP1/ZFR___DHX15.zip
SET,STIP1,PTBP1,0.3671,0.2726,0.4944,0.3,3,PTBP1/SET___STIP1.zip
NASP,CDC37,PTBP1,0.3655,0.3056,0.4372,0.41,3,PTBP1/NASP___CDC37.zip
PPP1R10,RB1,PTBP1,0.3643,0.2572,0.5162,0.53,5,PTBP1/PPP1R10___RB1.zip
SET,SAFB,PTBP1,0.3638,0.2594,0.5102,0.45,3,PTBP1/SET___SAFB.zip
EPB41,TLE3,PTBP1,0.3629,0.3183,0.4138,0.36,3,PTBP1/EPB41___TLE3.zip
SF3B2,ZNF503,PTBP1,0.3627,0.2389,0.5506,0.22,3,PTBP1/SF3B2___ZNF503.zip
FUBP1,RAVER1,PTBP1,0.3624,0.2718,0.4833,0.44,3,PTBP1/FUBP1___RAVER1.zip
U2SURP,CDC5L,PTBP1,0.361,0.2588,0.5034,0.32,3,PTBP1/U2SURP___CDC5L.zip
TXN,DNAJA1,PTBP1,0.3606,0.2328,0.5585,0.72,5,PTBP1/TXN___DNAJA1.zip
CCNT1,FUBP3,PTBP1,0.3598,0.2941,0.4401,0.36,3,PTBP1/CCNT1___FUBP3.zip
FUBP1,ZFR,PTBP1,0.3573,0.2754,0.4636,0.3,3,PTBP1/FUBP1___ZFR.zip
CDK4,CDC5L,PTBP1,0.3569,0.2341,0.5441,0.7,5,PTBP1/CDK4___CDC5L.zip
NASP,CDC5L,PTBP1,0.3546,0.2531,0.4969,0.33,3,PTBP1/NASP___CDC5L.zip
NASP,FUBP3,PTBP1,0.3545,0.3146,0.3996,0.33,3,PTBP1/NASP___FUBP3.zip
ZNF503,GFP,PTBP1,0.3542,0.268,0.468,0.63,5,PTBP1/ZNF503___GFP.zip
SAFB,CDC37,PTBP1,0.3538,0.2677,0.4675,0.23,3,PTBP1/SAFB___CDC37.zip
HMGB1,SF3A3,PTBP1,0.3516,0.225,0.5495,0.46,3,PTBP1/HMGB1___SF3A3.zip
NASP,NONO,PTBP1,0.3515,0.26,0.4752,0.29,3,PTBP1/NASP___NONO.zip
