gene,screen,is_bait,uniprot,entrez,degree,log2fc,neglogp,location,length,function
ENO1,POU2F1,0,P06733,2023,1,2.295,2.068,Nucleus,434,"Glycolytic enzyme the catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate (PubMed:29775581, PubMed:1369209). In addition to glycolysis, involved in various processes such as growth control, hypoxia tolerance and allergic …"
EPB41,POU2F1,0,P11171,2035,7,1.988,2.179,Nucleus,864,Protein 4.1 is a major structural element of the erythrocyte membrane skeleton. It plays a key role in regulating membrane physical properties of mechanical stability and deformability by stabilizing spectrin-actin interaction. Recruits DL…
ERLIN1,POU2F1,0,O75477,10613,1,1.009,1.448,ER/Golgi,348,"Component of the ERLIN1/ERLIN2 complex which mediates the endoplasmic reticulum-associated degradation (ERAD) of inositol 1,4,5-trisphosphate receptors (IP3Rs). Involved in regulation of cellular cholesterol homeostasis by regulation the S…"
ERLIN2,POU2F1,0,O94905,11160,1,1.117,1.41,ER/Golgi,339,"Component of the ERLIN1/ERLIN2 complex which mediates the endoplasmic reticulum-associated degradation (ERAD) of inositol 1,4,5-trisphosphate receptors (IP3Rs) such as ITPR1 (PubMed:19240031, PubMed:17502376). Promotes sterol-accelerated E…"
FUS,POU2F1,0,P35637,2521,7,1.829,1.405,Nucleus,526,"DNA/RNA-binding protein that plays a role in various cellular processes such as transcription regulation, RNA splicing, RNA transport, DNA repair and damage response (PubMed:27731383). Binds to nascent pre-mRNAs and acts as a molecular med…"
GFP,POU2F1,0,P42212,,2,,,Unknown,238,
GPD2,POU2F1,0,P43304,2820,1,2.943,1.808,Mitochondrion,727,Calcium-responsive mitochondrial glycerol-3-phosphate dehydrogenase which seems to be a key component of the pancreatic beta-cell glucose-sensing device. .
HARS2,POU2F1,0,P49590,23438,1,1.76,3.166,Mitochondrion,506,"Mitochondrial aminoacyl-tRNA synthetase that catalyzes the ATP-dependent ligation of histidine to the 3'-end of its cognate tRNA, via the formation of an aminoacyl-adenylate intermediate (His-AMP). ."
IBA57,POU2F1,0,Q5T440,200205,1,2.937,1.957,Mitochondrion,356,Involved in the maturation of mitochondrial 4Fe-4S proteins functioning late in the iron-sulfur cluster assembly pathway. .
KPNA4,POU2F1,0,O00629,3840,15,1.095,1.499,Nucleus,521,Functions in nuclear protein import as an adapter protein for nuclear receptor KPNB1. Binds specifically and directly to substrates containing either a simple or bipartite NLS motif. Docking of the importin/substrate complex to the nuclear…
LSS,POU2F1,0,P48449,4047,0,1.698,1.664,ER/Golgi,732,"Key enzyme in the cholesterol biosynthesis pathway. Catalyzes the cyclization of (S)-2,3 oxidosqualene to lanosterol, a reaction that forms the sterol nucleus (PubMed:14766201, PubMed:7639730, PubMed:26200341). Through the production of la…"
MRPL12,POU2F1,0,P52815,6182,3,3.15,2.372,Mitochondrion,198,"As a component of the mitochondrial large ribosomal subunit, it plays a role in mitochondrial translation (PubMed:23603806). Associates with mitochondrial RNA polymerase to activate transcription. ."
MTARC1,POU2F1,0,Q5VT66,64757,1,1.465,1.462,Mitochondrion,337,"Catalyzes the reduction of N-oxygenated molecules, acting as a counterpart of cytochrome P450 and flavin-containing monooxygenases in metabolic cycles (PubMed:19053771, PubMed:21029045, PubMed:30397129). As a component of prodrug-convertin…"
MYH10,POU2F1,0,P35580,4628,0,1.48,1.484,Other,1976,"Cellular myosin that appears to play a role in cytokinesis, cell shape, and specialized functions such as secretion and capping. Involved with LARP6 in the stabilization of type I collagen mRNAs for CO1A1 and CO1A2. During cell spreading, …"
MYH9,POU2F1,0,P35579,4627,1,1.293,1.485,Cytoskeleton,1960,"Cellular myosin that appears to play a role in cytokinesis, cell shape, and specialized functions such as secretion and capping. Required for cortical actin clearance prior to oocyte exocytosis (By similarity). Promotes cell motility in co…"
NBN,POU2F1,0,O60934,4683,11,1.012,1.601,Nucleus,754,"Component of the MRE11-RAD50-NBN (MRN complex) which plays a critical role in the cellular response to DNA damage and the maintenance of chromosome integrity. The complex is involved in double-strand break (DSB) repair, DNA recombination, …"
NCKAP1,POU2F1,0,Q9Y2A7,10787,3,2.28,1.574,Membrane,1128,Part of the WAVE complex that regulates lamellipodia formation. The WAVE complex regulates actin filament reorganization via its interaction with the Arp2/3 complex. Actin remodeling activity is regulated by RAC1. As component of the WAVE1…
NOP2,POU2F1,0,P46087,4839,9,2.411,1.524,Nucleus,812,Involved in ribosomal large subunit assembly (PubMed:24120868). S-adenosyl-L-methionine-dependent methyltransferase that specifically methylates the C(5) position of cytosine 4447 in 28S rRNA (Probable). May play a role in the regulation o…
OLA1,POU2F1,0,Q9NTK5,29789,2,3.878,1.944,Nucleus,396,"Hydrolyzes ATP, and can also hydrolyze GTP with lower efficiency. Has lower affinity for GTP. ."
PAICS,POU2F1,0,P22234,10606,0,1.661,2.074,Unknown,425,
POU2F1,POU2F1,1,P14859,,8,8.249,5.371,Unknown,743,
PRPF19,POU2F1,0,Q9UMS4,27339,4,1.951,1.314,Nucleus,504,"Ubiquitin-protein ligase which is a core component of several complexes mainly involved pre-mRNA splicing and DNA repair. Required for pre-mRNA splicing as component of the spliceosome (PubMed:28502770, PubMed:28076346, PubMed:29360106, Pu…"
PSPC1,POU2F1,0,Q8WXF1,55269,2,2.17,2.148,Nucleus,523,"Regulates, cooperatively with NONO and SFPQ, androgen receptor-mediated gene transcription activity in Sertoli cell line (By similarity). Binds to poly(A), poly(G) and poly(U) RNA homopolymers. Regulates the circadian clock by repressing t…"
PYGB,POU2F1,0,P11216,5834,1,1.437,1.867,Unknown,843,Glycogen phosphorylase that regulates glycogen mobilization (PubMed:27402852). Phosphorylase is an important allosteric enzyme in carbohydrate metabolism (PubMed:3346228). Enzymes from different sources differ in their regulatory mechanism…
RAD50,POU2F1,0,Q92878,10111,2,1.111,2.022,Nucleus,1312,"Component of the MRN complex, which plays a central role in double-strand break (DSB) repair, DNA recombination, maintenance of telomere integrity and meiosis. The complex possesses single-strand endonuclease activity and double-strand-spe…"
RUVBL2,POU2F1,0,Q9Y230,10856,0,1.593,1.535,Nucleus,463,Possesses single-stranded DNA-stimulated ATPase and ATP-dependent DNA helicase (5' to 3') activity; hexamerization is thought to be critical for ATP hydrolysis and adjacent subunits in the ring-like structure contribute to the ATPase activ…
SAMM50,POU2F1,0,Q9Y512,25813,5,1.384,1.529,Mitochondrion,469,"Plays a crucial role in the maintenance of the structure of mitochondrial cristae and the proper assembly of the mitochondrial respiratory chain complexes (PubMed:22252321, PubMed:25781180). Required for the assembly of TOMM40 into the TOM…"
SEC31A,POU2F1,0,O94979,22872,4,1.496,1.401,ER/Golgi,1220,"Component of the coat protein complex II (COPII) which promotes the formation of transport vesicles from the endoplasmic reticulum (ER) (PubMed:10788476). The coat has two main functions, the physical deformation of the endoplasmic reticul…"
SEPTIN2,POU2F1,0,Q15019,4735,2,2.018,4.021,Nucleus,361,"Filament-forming cytoskeletal GTPase. Forms a filamentous structure with SEPTIN12, SEPTIN6, SEPTIN2 and probably SEPTIN4 at the sperm annulus which is required for the structural integrity and motility of the sperm tail during postmeiotic …"
SETD1A,POU2F1,0,O15047,9739,4,2.946,1.368,Nucleus,1707,"Histone methyltransferase that specifically methylates 'Lys-4' of histone H3, when part of the SET1 histone methyltransferase (HMT) complex, but not if the neighboring 'Lys-9' residue is already methylated. H3 'Lys-4' methylation represent…"
STIP1,POU2F1,0,P31948,10963,3,1.058,1.415,Nucleus,543,Acts as a co-chaperone for HSP90AA1 (PubMed:27353360). Mediates the association of the molecular chaperones HSPA8/HSC70 and HSP90 (By similarity). .
SUPV3L1,POU2F1,0,Q8IYB8,6832,2,2.328,1.61,Nucleus,786,"Major helicase player in mitochondrial RNA metabolism. Component of the mitochondrial degradosome (mtEXO) complex, that degrades 3' overhang double-stranded RNA with a 3'-to-5' directionality in an ATP-dependent manner. Involved in the deg…"
WASHC5,POU2F1,0,Q12768,9897,2,1.885,1.539,ER/Golgi,1159,"Acts as a component of the WASH core complex that functions as a nucleation-promoting factor (NPF) at the surface of endosomes, where it recruits and activates the Arp2/3 complex to induce actin polymerization, playing a key role in the fi…"
ACTR2,PSMA2,0,P61160,10097,4,1.486,1.474,Nucleus,394,"ATP-binding component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF) (PubMed:9000076). The Arp2/3 complex mediates the formation of branched actin netw…"
ALDH1L2,PSMA2,0,Q3SY69,160428,0,1.952,1.934,Mitochondrion,923,
ASPH,PSMA2,0,Q12797,444,7,1.998,1.439,ER/Golgi,758,"[Isoform 1]: specifically hydroxylates an Asp or Asn residue in certain epidermal growth factor-like (EGF) domains of a number of proteins. .; [Isoform 8]: membrane-bound Ca(2+)-sensing protein, which is a structural component of the ER-pl…"
ATXN2L,PSMA2,0,Q8WWM7,11273,1,2.393,1.314,Nucleus,1075,Involved in the regulation of stress granule and P-body formation. .
CIP2A,PSMA2,0,Q8TCG1,57650,3,1.979,2.134,Nucleus,905,Oncoprotein that inhibits PP2A and stabilizes MYC in human malignancies. Promotes anchorage-independent cell growth and tumor formation. .
EDC3,PSMA2,0,Q96F86,80153,2,1.115,1.697,Cytoplasm,508,Binds single-stranded RNA. Involved in the process of mRNA degradation and in the positive regulation of mRNA decapping. May play a role in spermiogenesis and oogenesis. .
EPB41,PSMA2,0,P11171,2035,5,1.251,1.633,Nucleus,864,Protein 4.1 is a major structural element of the erythrocyte membrane skeleton. It plays a key role in regulating membrane physical properties of mechanical stability and deformability by stabilizing spectrin-actin interaction. Recruits DL…
GFP,PSMA2,0,P42212,,0,,,Unknown,238,
GNAI3,PSMA2,0,P08754,2773,4,1.543,2.364,Membrane,354,Heterotrimeric guanine nucleotide-binding proteins (G proteins) function as transducers downstream of G protein-coupled receptors (GPCRs) in numerous signaling cascades. The alpha chain contains the guanine nucleotide binding site and alte…
GNAS,PSMA2,0,Q5JWF2,2778,0,3.206,2.144,Membrane,1037,"Guanine nucleotide-binding proteins (G proteins) function as transducers in numerous signaling pathways controlled by G protein-coupled receptors (GPCRs). Signaling involves the activation of adenylyl cyclases, resulting in increased level…"
IBA57,PSMA2,0,Q5T440,200205,1,2.445,1.483,Mitochondrion,356,Involved in the maturation of mitochondrial 4Fe-4S proteins functioning late in the iron-sulfur cluster assembly pathway. .
MARS2,PSMA2,0,Q96GW9,92935,1,2.342,2.233,Mitochondrion,593,
MRPL12,PSMA2,0,P52815,6182,1,3.74,2.121,Mitochondrion,198,"As a component of the mitochondrial large ribosomal subunit, it plays a role in mitochondrial translation (PubMed:23603806). Associates with mitochondrial RNA polymerase to activate transcription. ."
MRPL15,PSMA2,0,Q9P015,29088,1,1.773,1.433,Mitochondrion,296,
NBN,PSMA2,0,O60934,4683,7,1.165,1.947,Nucleus,754,"Component of the MRE11-RAD50-NBN (MRN complex) which plays a critical role in the cellular response to DNA damage and the maintenance of chromosome integrity. The complex is involved in double-strand break (DSB) repair, DNA recombination, …"
NUP107,PSMA2,0,P57740,57122,1,1.3,1.484,Nucleus,925,"Plays a role in the nuclear pore complex (NPC) assembly and/or maintenance (PubMed:12552102, PubMed:15229283, PubMed:30179222). Required for the assembly of peripheral proteins into the NPC (PubMed:15229283, PubMed:12552102). May anchor NU…"
PDXDC1,PSMA2,0,Q6P996,23042,0,1.869,1.668,Unknown,788,
PPIB,PSMA2,0,P23284,5479,8,1.084,1.566,ER/Golgi,216,PPIase that catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides and may therefore assist protein folding. .
PPP1R10,PSMA2,0,Q96QC0,5514,6,1.088,1.358,Nucleus,940,Scaffold protein which mediates the formation of the PTW/PP1 phosphatase complex by providing a binding platform to each component of the complex. The PTW/PP1 phosphatase complex plays a role in the control of chromatin structure and cell …
PSMA2,PSMA2,1,P25787,,1,5.64,3.704,Unknown,234,
PSMA4,PSMA2,0,P25789,5685,1,1.834,2.064,Nucleus,261,Component of the 20S core proteasome complex involved in the proteolytic degradation of most intracellular proteins. This complex plays numerous essential roles within the cell by associating with different regulatory particles. Associated…
SAFB,PSMA2,0,Q15424,6294,6,1.848,1.608,Nucleus,915,Binds to scaffold/matrix attachment region (S/MAR) DNA and forms a molecular assembly point to allow the formation of a 'transcriptosomal' complex (consisting of SR proteins and RNA polymerase II) coupling transcription and RNA processing …
SGPL1,PSMA2,0,O95470,8879,1,2.249,3.0,ER/Golgi,568,"Cleaves phosphorylated sphingoid bases (PSBs), such as sphingosine-1-phosphate, into fatty aldehydes and phosphoethanolamine. Elevates stress-induced ceramide production and apoptosis (PubMed:11018465, PubMed:14570870, PubMed:24809814, Pub…"
SNRPC,PSMA2,0,P09234,6631,3,3.331,2.416,Nucleus,159,"Component of the spliceosomal U1 snRNP, which is essential for recognition of the pre-mRNA 5' splice-site and the subsequent assembly of the spliceosome. SNRPC/U1-C is directly involved in initial 5' splice-site recognition for both consti…"
STIP1,PSMA2,0,P31948,10963,4,1.222,1.394,Nucleus,543,Acts as a co-chaperone for HSP90AA1 (PubMed:27353360). Mediates the association of the molecular chaperones HSPA8/HSC70 and HSP90 (By similarity). .
TXLNA,PSMA2,0,P40222,200081,1,2.007,1.795,Unknown,546,May be involved in intracellular vesicle traffic and potentially in calcium-dependent exocytosis in neuroendocrine cells.
TXN,PSMA2,0,P10599,7295,3,2.146,2.364,Nucleus,105,"Participates in various redox reactions through the reversible oxidation of its active center dithiol to a disulfide and catalyzes dithiol-disulfide exchange reactions (PubMed:2176490, PubMed:17182577, PubMed:19032234). Plays a role in the…"
XPNPEP1,PSMA2,0,Q9NQW7,7511,0,1.031,1.623,Cytoplasm,623,"Contributes to the degradation of bradykinin. Catalyzes the removal of a penultimate prolyl residue from the N-termini of peptides, such as Arg-Pro-Pro."
XRN2,PSMA2,0,Q9H0D6,22803,2,1.75,1.378,Nucleus,950,"Possesses 5'->3' exoribonuclease activity (By similarity). May promote the termination of transcription by RNA polymerase II. During transcription termination, cleavage at the polyadenylation site liberates a 5' fragment which is subsequen…"
AGAP3,PTBP1,0,Q96P47,116988,6,1.737,1.629,Nucleus,875,GTPase-activating protein for the ADP ribosylation factor family (Potential). GTPase which may be involved in the degradation of expanded polyglutamine proteins through the ubiquitin-proteasome pathway. .
ANP32A,PTBP1,0,P39687,8125,16,2.416,1.926,Nucleus,249,"Multifunctional protein that is involved in the regulation of many processes including tumor suppression, apoptosis, cell cycle progression or transcription (PubMed:16341127, PubMed:11360199, PubMed:18439902, PubMed:10400610). Promotes apo…"
ATP5PD,PTBP1,0,O75947,10476,4,3.633,3.177,Mitochondrion,161,Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATP…
ATXN2L,PTBP1,0,Q8WWM7,11273,0,3.644,2.103,Nucleus,1075,Involved in the regulation of stress granule and P-body formation. .
CCAR2,PTBP1,0,Q8N163,57805,3,3.057,3.27,Nucleus,923,"Core component of the DBIRD complex, a multiprotein complex that acts at the interface between core mRNP particles and RNA polymerase II (RNAPII) and integrates transcript elongation with the regulation of alternative splicing: the DBIRD c…"
CCNT1,PTBP1,0,O60563,904,14,2.075,1.919,Nucleus,726,"Regulatory subunit of the cyclin-dependent kinase pair (CDK9/cyclin-T1) complex, also called positive transcription elongation factor B (P-TEFb), which is proposed to facilitate the transition from abortive to productive elongation by phos…"
CDC37,PTBP1,0,Q16543,11140,15,2.863,1.873,Cytoplasm,378,"Co-chaperone that binds to numerous kinases and promotes their interaction with the Hsp90 complex, resulting in stabilization and promotion of their activity (PubMed:8666233). Inhibits HSP90AA1 ATPase activity (PubMed:23569206). ."
CDC5L,PTBP1,0,Q99459,988,9,2.522,1.367,Nucleus,802,"DNA-binding protein involved in cell cycle control. May act as a transcription activator. Plays role in pre-mRNA splicing as core component of precatalytic, catalytic and postcatalytic spliceosomal complexes (PubMed:11991638, PubMed:201768…"
CDK4,PTBP1,0,P11802,1019,5,1.613,2.427,Nucleus,303,Ser/Thr-kinase component of cyclin D-CDK4 (DC) complexes that phosphorylate and inhibit members of the retinoblastoma (RB) protein family including RB1 and regulate the cell-cycle during G(1)/S transition. Phosphorylation of RB1 allows dis…
CHERP,PTBP1,0,Q8IWX8,10523,13,1.266,1.761,Nucleus,916,"Involved in calcium homeostasis, growth and proliferation. ."
CIZ1,PTBP1,0,Q9ULV3,25792,13,3.934,2.429,Nucleus,898,May regulate the subcellular localization of CIP/WAF1.
CSTB,PTBP1,0,P04080,1476,9,1.868,2.24,Nucleus,98,"This is an intracellular thiol proteinase inhibitor. Tightly binding reversible inhibitor of cathepsins L, H and B."
DAZAP1,PTBP1,0,Q96EP5,26528,5,1.815,1.76,Nucleus,407,"RNA-binding protein, which may be required during spermatogenesis."
DDX17,PTBP1,0,Q92841,10521,6,1.085,1.778,Nucleus,729,"As an RNA helicase, unwinds RNA and alters RNA structures through ATP binding and hydrolysis. Involved in multiple cellular processes, including pre-mRNA splicing, alternative splicing, ribosomal RNA processing and miRNA processing, as wel…"
DHX15,PTBP1,0,O43143,1665,7,1.089,1.432,Nucleus,795,"Pre-mRNA processing factor involved in disassembly of spliceosomes after the release of mature mRNA. In cooperation with TFIP11 seem to be involved in the transition of the U2, U5 and U6 snRNP-containing IL complex to the snRNP-free IS com…"
DNAJA1,PTBP1,0,P31689,3301,7,1.359,1.307,Nucleus,397,"Co-chaperone for HSPA8/Hsc70 (PubMed:10816573). Stimulates ATP hydrolysis, but not the folding of unfolded proteins mediated by HSPA1A (in vitro) (PubMed:24318877). Plays a role in protein transport into mitochondria via its role as co-cha…"
EDC3,PTBP1,0,Q96F86,80153,3,1.222,2.042,Cytoplasm,508,Binds single-stranded RNA. Involved in the process of mRNA degradation and in the positive regulation of mRNA decapping. May play a role in spermiogenesis and oogenesis. .
EPB41,PTBP1,0,P11171,2035,14,1.195,2.381,Nucleus,864,Protein 4.1 is a major structural element of the erythrocyte membrane skeleton. It plays a key role in regulating membrane physical properties of mechanical stability and deformability by stabilizing spectrin-actin interaction. Recruits DL…
FAM50A,PTBP1,0,Q14320,9130,8,1.865,1.56,Nucleus,339,Probably involved in the regulation of pre-mRNA splicing. .
FUBP1,PTBP1,0,Q96AE4,8880,10,2.904,2.652,Nucleus,644,Regulates MYC expression by binding to a single-stranded far-upstream element (FUSE) upstream of the MYC promoter. May act both as activator and repressor of transcription. .
FUBP3,PTBP1,0,Q96I24,8939,8,1.712,1.739,Nucleus,572,May interact with single-stranded DNA from the far-upstream element (FUSE). May activate gene expression.
FUS,PTBP1,0,P35637,2521,9,3.129,2.159,Nucleus,526,"DNA/RNA-binding protein that plays a role in various cellular processes such as transcription regulation, RNA splicing, RNA transport, DNA repair and damage response (PubMed:27731383). Binds to nascent pre-mRNAs and acts as a molecular med…"
GFP,PTBP1,0,P42212,,10,,,Unknown,238,
HMGB1,PTBP1,0,P09429,3146,4,1.005,1.591,Nucleus,215,"Multifunctional redox sensitive protein with various roles in different cellular compartments. In the nucleus is one of the major chromatin-associated non-histone proteins and acts as a DNA chaperone involved in replication, transcription,…"
KHSRP,PTBP1,0,Q92945,8570,7,1.076,2.259,Nucleus,711,Binds to the dendritic targeting element and may play a role in mRNA trafficking (By similarity). Part of a ternary complex that binds to the downstream control sequence (DCS) of the pre-mRNA. Mediates exon inclusion in transcripts that ar…
LUC7L2,PTBP1,0,Q9Y383,51631,4,1.136,1.438,Nucleus,392,May bind to RNA via its Arg/Ser-rich domain.
MATR3,PTBP1,0,P43243,9782,10,2.184,4.012,Nucleus,847,May play a role in transcription or may interact with other nuclear matrix proteins to form the internal fibrogranular network. In association with the SFPQ-NONO heteromer may play a role in nuclear retention of defective RNAs. Plays a rol…
MRPL12,PTBP1,0,P52815,6182,5,3.022,2.747,Mitochondrion,198,"As a component of the mitochondrial large ribosomal subunit, it plays a role in mitochondrial translation (PubMed:23603806). Associates with mitochondrial RNA polymerase to activate transcription. ."
NASP,PTBP1,0,P49321,4678,33,3.974,3.893,Nucleus,788,"Required for DNA replication, normal cell cycle progression and cell proliferation. Forms a cytoplasmic complex with HSP90 and H1 linker histones and stimulates HSP90 ATPase activity. NASP and H1 histone are subsequently released from the …"
NCL,PTBP1,0,P19338,4691,4,1.165,2.011,Nucleus,710,Nucleolin is the major nucleolar protein of growing eukaryotic cells. It is found associated with intranucleolar chromatin and pre-ribosomal particles. It induces chromatin decondensation by binding to histone H1. It is thought to play a r…
NONO,PTBP1,0,Q15233,4841,5,1.575,2.733,Nucleus,471,"DNA- and RNA binding protein, involved in several nuclear processes. Binds the conventional octamer sequence in double-stranded DNA. Also binds single-stranded DNA and RNA at a site independent of the duplex site. Involved in pre-mRNA spli…"
PCBP2,PTBP1,0,Q15366,5094,2,1.524,2.456,Nucleus,365,Single-stranded nucleic acid binding protein that binds preferentially to oligo dC. Major cellular poly(rC)-binding protein. Binds also poly(rU). Negatively regulates cellular antiviral responses mediated by MAVS signaling (PubMed:19881509…
PCCA,PTBP1,0,P05165,5095,2,1.003,1.639,Mitochondrion,728,"This is one of the 2 subunits of the biotin-dependent propionyl-CoA carboxylase (PCC), a mitochondrial enzyme involved in the catabolism of odd chain fatty acids, branched-chain amino acids isoleucine, threonine, methionine, and valine and…"
PDK1,PTBP1,0,Q15118,5163,10,2.215,1.99,Mitochondrion,436,"Kinase that plays a key role in regulation of glucose and fatty acid metabolism and homeostasis via phosphorylation of the pyruvate dehydrogenase subunits PDHA1 and PDHA2. This inhibits pyruvate dehydrogenase activity, and thereby regulate…"
PPP1R10,PTBP1,0,Q96QC0,5514,14,3.382,1.783,Nucleus,940,Scaffold protein which mediates the formation of the PTW/PP1 phosphatase complex by providing a binding platform to each component of the complex. The PTW/PP1 phosphatase complex plays a role in the control of chromatin structure and cell …
PRDX1,PTBP1,0,Q06830,5052,2,1.468,1.818,Cytoplasm,199,"Thiol-specific peroxidase that catalyzes the reduction of hydrogen peroxide and organic hydroperoxides to water and alcohols, respectively. Plays a role in cell protection against oxidative stress by detoxifying peroxides and as sensor of …"
PRMT1,PTBP1,0,Q99873,3276,4,1.294,2.466,Nucleus,371,"Arginine methyltransferase that methylates (mono and asymmetric dimethylation) the guanidino nitrogens of arginyl residues present in proteins such as ESR1, histone H2, H3 and H4, ILF3, HNRNPA1, HNRNPD, NFATC2IP, SUPT5H, TAF15, EWS, HABP4 …"
PSPC1,PTBP1,0,Q8WXF1,55269,6,1.728,1.724,Nucleus,523,"Regulates, cooperatively with NONO and SFPQ, androgen receptor-mediated gene transcription activity in Sertoli cell line (By similarity). Binds to poly(A), poly(G) and poly(U) RNA homopolymers. Regulates the circadian clock by repressing t…"
PTBP1,PTBP1,1,P26599,,7,5.597,5.238,Unknown,557,
PTBP3,PTBP1,0,O95758,9991,9,9.013,4.185,Unknown,552,"RNA-binding protein that mediates pre-mRNA alternative splicing regulation. Plays a role in the regulation of cell proliferation, differentiation and migration. Positive regulator of EPO-dependent erythropoiesis. Participates in cell diffe…"
RAVER1,PTBP1,0,Q8IY67,125950,11,5.11,2.083,Nucleus,606,Cooperates with PTBP1 to modulate regulated alternative splicing events. Promotes exon skipping. Cooperates with PTBP1 to modulate switching between mutually exclusive exons during maturation of the TPM1 pre-mRNA (By similarity). .
RB1,PTBP1,0,P06400,5925,11,1.149,1.598,Nucleus,928,"Tumor suppressor that is a key regulator of the G1/S transition of the cell cycle (PubMed:10499802). The hypophosphorylated form binds transcription regulators of the E2F family, preventing transcription of E2F-responsive genes (PubMed:104…"
RBM33,PTBP1,0,Q96EV2,155435,7,2.907,1.339,Unknown,1170,
RBM4,PTBP1,0,Q9BWF3,5936,8,1.993,2.042,Nucleus,364,RNA-binding factor involved in multiple aspects of cellular processes like alternative splicing of pre-mRNA and translation regulation. Modulates alternative 5'-splice site and exon selection. Acts as a muscle cell differentiation-promotin…
RPS12,PTBP1,0,P25398,6206,7,1.946,2.028,Cytoplasm,132,
SAFB,PTBP1,0,Q15424,6294,14,2.656,1.899,Nucleus,915,Binds to scaffold/matrix attachment region (S/MAR) DNA and forms a molecular assembly point to allow the formation of a 'transcriptosomal' complex (consisting of SR proteins and RNA polymerase II) coupling transcription and RNA processing …
SAR1A,PTBP1,0,Q9NR31,56681,3,1.202,2.922,ER/Golgi,198,Involved in transport from the endoplasmic reticulum to the Golgi apparatus (By similarity). Required to maintain SEC16A localization at discrete locations on the ER membrane perhaps by preventing its dissociation. SAR1A-GTP-dependent asse…
SET,PTBP1,0,Q01105,6418,8,1.542,2.42,Nucleus,290,"Multitasking protein, involved in apoptosis, transcription, nucleosome assembly and histone chaperoning. Isoform 2 anti-apoptotic activity is mediated by inhibition of the GZMA-activated DNase, NME1. In the course of cytotoxic T-lymphocyte…"
SF1,PTBP1,0,Q15637,7536,15,2.038,1.935,Nucleus,639,Necessary for the ATP-dependent first step of spliceosome assembly. Binds to the intron branch point sequence (BPS) 5'-UACUAAC-3' of the pre-mRNA. May act as transcription repressor. .
SF3A3,PTBP1,0,Q12874,10946,6,2.372,1.458,Nucleus,501,"Involved in pre-mRNA splicing as a component of the splicing factor SF3A complex that contributes to the assembly of the 17S U2 snRNP, and the subsequent assembly of the pre-spliceosome 'E' complex and the pre-catalytic spliceosome 'A' com…"
